what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077534979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1341077534995
activated,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.sync.views.SynchronizeView",1341077537522
executed,command,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.team.AddToIndex",1341077544647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077544972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077545086
executed,command,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.team.AddToIndex",1341077550345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077550675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077550731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077557075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077582930
executed,command,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.team.Commit",1341077582947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077583271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077583365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077590682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077598017
executed,command,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.team.Commit",1341077598035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077622902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077807119
executed,command,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.synchronizeLast",1341077823556
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077823910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077843319
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1341077871881
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1341077871886
activated,view,org.eclipse.mylyn.tasks.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.tasks.ui.views.repositories",1341077877943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077882830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077890572
executed,command,org.eclipse.mylyn.tasks.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.tasks.ui.command.openRemoteTask",1341077890584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077895719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077899987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1341077900004
activated,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.sync.views.SynchronizeView",1341077905724
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1341077924050
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341077924078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341077926940
